time/fps,time/time_elapsed,time/total_timesteps,time/iterations,time/rollout_time,time/train_time,train/learning_rate,train/n_updates,train/clip_range,train/clip_fraction,train/value_loss,train/clip_range_vf,train/explained_variance,train/std,train/approx_kl,train/policy_gradient_loss,train/loss,train/entropy_loss
1439,45,65536,1,45.47834491729736,0.004761695861816406,,,,,,,,,,,,
1398,93,131072,2,46.909478187561035,1.2873244285583496,0.0001,10,0.1,0.1180145263671875,7.5283398270607,1000.0,-0.4100797176361084,0.9996641874313354,0.002308338,-0.007340145714988466,2.878779172897339,-34.05043649673462
1384,141,196608,3,47.232829332351685,1.041795015335083,0.0001,20,0.1,0.12642059326171876,5.883019798994065,1000.0,-0.2706073522567749,0.9991875886917114,0.0025326957,-0.007648311844968702,2.362304449081421,-34.04112386703491
1387,188,262144,4,45.91777682304382,1.039444923400879,0.0001,30,0.1,0.13999176025390625,5.142157852649689,1000.0,-0.011521220207214355,0.9990323781967163,0.0025869377,-0.008232301435782574,2.176018476486206,-34.03372473716736
1382,237,327680,5,47.034883975982666,1.0472869873046875,0.0001,40,0.1,0.1546356201171875,5.1528595864772795,1000.0,0.16859042644500732,0.9985088109970093,0.0028052907,-0.00888888334739022,2.355351209640503,-34.02374448776245
1372,286,393216,6,48.47047400474548,1.0743293762207031,0.0001,50,0.1,0.15068511962890624,5.551357960700988,1000.0,0.27317869663238525,0.9982675313949585,0.0028453297,-0.008596585992199835,2.6705145835876465,-34.014289665222165
1372,334,458752,7,46.573811054229736,1.0418896675109863,0.0001,60,0.1,0.156842041015625,5.89193217754364,1000.0,0.34921324253082275,0.9980672597885132,0.0028879715,-0.00882721851230599,2.822408437728882,-34.009531545639035
1373,381,524288,8,46.348538637161255,1.1614761352539062,0.0001,70,0.1,0.15272064208984376,6.315670198202133,1000.0,0.4132118225097656,0.9970594644546509,0.0029829713,-0.008567462797509506,3.067941427230835,-33.993772411346434
1376,428,589824,9,45.82041144371033,1.0842316150665283,0.0001,80,0.1,0.1354156494140625,6.678124594688415,1000.0,0.463229238986969,0.9963988661766052,0.0027446228,-0.007830010351608508,3.1031510829925537,-33.97437782287598
1377,475,655360,10,45.99475598335266,1.0945277214050293,0.0001,90,0.1,0.12440032958984375,7.363673663139343,1000.0,0.5026406645774841,0.9958395957946777,0.0025021436,-0.007317078966298141,3.4616544246673584,-33.95914225578308
1381,521,720896,11,45.103073596954346,1.049293041229248,0.0001,100,0.1,0.117266845703125,7.539728760719299,1000.0,0.5295964479446411,0.9949740171432495,0.0024915598,-0.006993526313453913,3.661381244659424,-33.94172797203064
1384,567,786432,12,44.97233510017395,1.040801763534546,0.0001,110,0.1,0.1265533447265625,7.495254778862,1000.0,0.5626684427261353,0.9944204092025757,0.0023482647,-0.007305352902039886,3.570934772491455,-33.92426190376282
1387,613,851968,13,45.076159954071045,1.0471017360687256,0.0001,120,0.1,0.12339630126953124,7.6291454374790195,1000.0,0.5868669748306274,0.993595540523529,0.0025532716,-0.007164955933694728,3.631438732147217,-33.90724663734436
1391,659,917504,14,44.36837911605835,1.0517234802246094,0.0001,130,0.1,0.12276458740234375,7.770018124580384,1000.0,0.6085677146911621,0.9929325580596924,0.0024036895,-0.007211303373333066,3.7149620056152344,-33.88852572441101
1394,704,983040,15,44.305699586868286,1.1074607372283936,0.0001,140,0.1,0.1093505859375,8.257069545984269,1000.0,0.6344199180603027,0.9920398592948914,0.002303761,-0.006507880421122536,3.996960401535034,-33.870440769195554
1396,750,1048576,16,44.88713836669922,1.1875178813934326,0.0001,150,0.1,0.108740234375,8.117643308639526,1000.0,0.6633177995681763,0.9913927912712097,0.0022195065,-0.006287142371002119,3.914489507675171,-33.85041823387146
